id,depaAirport,arriAirport,std,sta,fleet,aircraftNo,flyTime
Flt_15531,VIOC,VWSF,2025/5/1 18:30,2025/5/1 21:15,321,Aft_10051,150
Flt_15532,VIOC,WCBM,2025/5/1 15:50,2025/5/1 18:35,321,Aft_10049,153
Flt_15534,EFSS,VIOC,2025/5/1 21:30,2025/5/2 0:10,320,Aft_10052,163
Flt_15535,VWSF,VIOC,2025/5/1 19:45,2025/5/1 22:25,321,Aft_10053,168
Flt_15536,WCBM,VIOC,2025/5/1 12:10,2025/5/1 15:05,321,Aft_10054,181
Flt_15537,VIOC,VWSF,2025/5/1 17:30,2025/5/1 20:30,321,Aft_10048,154
Flt_15539,VIOC,EFSS,2025/5/1 17:55,2025/5/1 20:45,320,Aft_10052,143
Flt_15540,VIOC,WCBM,2025/5/1 8:15,2025/5/1 10:50,321,Aft_10054,155
Flt_15541,AVSX,VIOC,2025/5/1 11:55,2025/5/1 14:55,321,Aft_10033,182
Flt_15542,VIOC,VWTX,2025/5/1 10:55,2025/5/1 12:20,321,Aft_10053,67
Flt_15543,ENDP,VIOC,2025/5/1 9:00,2025/5/1 12:00,321,Aft_10040,184
Flt_15544,VIOC,AVSX,2025/5/1 8:05,2025/5/1 10:50,321,Aft_10033,159
Flt_15545,VWSF,VIOC,2025/5/1 6:55,2025/5/1 9:50,321,Aft_10053,168
Flt_15546,JZAO,VIOC,2025/5/1 22:10,2025/5/2 0:55,321,Aft_10031,173
Flt_15547,VIOC,ENDP,2025/5/1 18:20,2025/5/1 21:00,321,Aft_10055,145
Flt_15548,VIOC,JZAO,2025/5/1 18:35,2025/5/1 21:05,321,Aft_10031,149
Flt_15549,VWSF,VIOC,2025/5/1 7:45,2025/5/1 10:25,321,Aft_10031,164
Flt_15550,VIOC,VWSF,2025/5/1 15:30,2025/5/1 18:10,321,Aft_10053,150
Flt_15551,JZAO,VIOC,2025/5/1 9:55,2025/5/1 12:50,321,Aft_10036,179
Flt_15552,ENDP,VIOC,2025/5/1 19:35,2025/5/1 22:25,321,Aft_10032,182
Flt_15553,VWTX,VIOC,2025/5/1 13:15,2025/5/1 14:25,321,Aft_10053,63
Flt_15554,VIOC,VWSF,2025/5/1 20:30,2025/5/1 23:05,321,Aft_10036,154
Flt_15555,VIOC,JZAO,2025/5/1 6:05,2025/5/1 8:40,321,Aft_10036,149
Flt_15556,VIOC,ENDP,2025/5/1 15:35,2025/5/1 18:15,321,Aft_10032,147
Flt_15557,VWSF,VIOC,2025/5/1 22:00,2025/5/2 0:50,321,Aft_10048,166
Flt_15558,VWSF,VIOC,2025/5/1 17:40,2025/5/1 20:30,320,Aft_10028,169
Flt_15559,DQUC,VIOC,2025/5/1 10:20,2025/5/1 13:15,320,Aft_10056,172
Flt_15560,RRES,VWSF,2025/5/1 7:15,2025/5/1 9:40,321,Aft_10047,142
Flt_15561,RRES,MXYE,2025/5/1 7:10,2025/5/1 9:10,320,Aft_10044,116
Flt_15562,VIOC,STEC,2025/5/1 17:00,2025/5/1 19:25,321,Aft_10054,134
Flt_15563,VIOC,DQUC,2025/5/1 6:40,2025/5/1 9:10,320,Aft_10056,151
Flt_15564,KYFK,VIOC,2025/5/1 9:55,2025/5/1 11:50,321,Aft_10046,116
Flt_15566,VWSF,RRES,2025/5/1 10:55,2025/5/1 13:40,321,Aft_10047,157
Flt_15567,VIOC,VWTX,2025/5/1 16:15,2025/5/1 17:30,320,Aft_10057,66
Flt_15568,STEC,VIOC,2025/5/1 12:50,2025/5/1 15:10,320,Aft_10057,142
Flt_15569,SOBS,VIOC,2025/5/1 9:55,2025/5/1 12:10,320,Aft_10028,130
Flt_15570,VIOC,KYFK,2025/5/1 6:55,2025/5/1 8:45,321,Aft_10046,110
Flt_15572,VIOC,SOBS,2025/5/1 7:15,2025/5/1 9:10,320,Aft_10028,121
Flt_15573,VWSF,RRES,2025/5/1 23:05,2025/5/2 1:55,320,Aft_10058,157
Flt_15574,VIOC,HYRM,2025/5/1 15:30,2025/5/1 17:55,319,Aft_10059,143
Flt_15575,RRES,VWSF,2025/5/1 17:10,2025/5/1 19:50,320,Aft_10060,145
Flt_15576,MXYE,RRES,2025/5/1 19:55,2025/5/1 22:10,321,Aft_10061,133
Flt_15577,DHUW,VIOC,2025/5/1 16:05,2025/5/1 18:10,321,Aft_10040,128
Flt_15578,VWSF,RRES,2025/5/1 18:45,2025/5/1 21:30,320,Aft_10062,161
Flt_15579,HYRM,VIOC,2025/5/1 19:00,2025/5/1 21:35,319,Aft_10059,148
Flt_15580,VIOC,DHUW,2025/5/1 13:15,2025/5/1 15:15,321,Aft_10040,114
Flt_15581,RRES,MXYE,2025/5/1 16:45,2025/5/1 18:50,321,Aft_10061,119
Flt_15582,MXYE,RRES,2025/5/1 16:30,2025/5/1 19:00,321,Aft_10063,137
Flt_15583,RRES,VWSF,2025/5/1 15:00,2025/5/1 17:30,320,Aft_10062,144
Flt_15584,RRES,MXYE,2025/5/1 13:00,2025/5/1 15:20,321,Aft_10063,120
Flt_15585,DQUC,VIOC,2025/5/1 20:25,2025/5/1 23:20,320,Aft_10064,172
Flt_15586,VIOC,DQUC,2025/5/1 16:35,2025/5/1 19:15,320,Aft_10064,153
Flt_15587,MXYE,RRES,2025/5/1 10:25,2025/5/1 12:45,320,Aft_10044,134
Flt_15588,STEC,VIOC,2025/5/1 20:25,2025/5/1 22:50,321,Aft_10054,139
Flt_15591,VIOC,SLPJ,2025/5/1 17:50,2025/5/1 20:00,321,Aft_10065,108
Flt_15592,VIOC,XQWL,2025/5/1 16:55,2025/5/1 19:00,321,Aft_10038,108
Flt_15593,JFEE,RRES,2025/5/1 6:55,2025/5/1 9:05,321,Aft_10061,121
Flt_15594,JFEE,VIOC,2025/5/1 10:35,2025/5/1 12:50,320,Aft_10041,136
Flt_15595,AXWS,VIOC,2025/5/1 23:30,2025/5/2 1:50,321,Aft_10066,157
Flt_15596,XQWL,VIOC,2025/5/1 10:55,2025/5/1 13:05,319,Aft_10035,112
Flt_15597,RRES,JFEE,2025/5/1 20:50,2025/5/1 22:55,321,Aft_10067,123
Flt_15598,VIOC,JFEE,2025/5/1 7:00,2025/5/1 9:20,320,Aft_10041,143
Flt_15599,VIOC,AXWS,2025/5/1 20:20,2025/5/1 22:45,321,Aft_10066,147
Flt_15600,VIOC,XQWL,2025/5/1 8:00,2025/5/1 9:55,319,Aft_10035,109
Flt_15601,JFEE,RRES,2025/5/1 13:35,2025/5/1 15:35,321,Aft_10061,123
Flt_15602,JFEE,VIOC,2025/5/1 9:20,2025/5/1 11:40,321,Aft_10068,140
Flt_15603,MXYE,VIOC,2025/5/1 8:20,2025/5/1 10:40,321,Aft_10066,154
Flt_15604,UDGM,VIOC,2025/5/1 21:35,2025/5/1 23:55,320,Aft_10001,146
Flt_15605,RRES,JFEE,2025/5/1 10:20,2025/5/1 12:25,321,Aft_10061,124
Flt_15606,VIOC,JFEE,2025/5/1 13:00,2025/5/1 15:35,321,Aft_10068,146
Flt_15607,VIOC,UDGM,2025/5/1 18:15,2025/5/1 20:40,320,Aft_10001,133
Flt_15608,JFEE,RRES,2025/5/1 19:05,2025/5/1 20:50,321,Aft_10050,121
Flt_15609,JFEE,VIOC,2025/5/1 14:15,2025/5/1 16:35,321,Aft_10065,142
Flt_15610,NDUJ,VIOC,2025/5/1 19:45,2025/5/1 21:55,319,Aft_10069,121
Flt_15611,RRES,JFEE,2025/5/1 15:45,2025/5/1 17:50,321,Aft_10050,122
Flt_15612,VIOC,STEC,2025/5/1 9:35,2025/5/1 11:50,320,Aft_10057,135
Flt_15613,VIOC,JFEE,2025/5/1 10:40,2025/5/1 13:00,321,Aft_10065,145
Flt_15614,VWTX,VIOC,2025/5/1 7:30,2025/5/1 8:30,320,Aft_10057,63
Flt_15615,VIOC,NDUJ,2025/5/1 16:55,2025/5/1 18:45,319,Aft_10069,110
Flt_15617,SLPJ,VIOC,2025/5/1 21:05,2025/5/1 22:55,321,Aft_10065,111
Flt_15618,XQWL,VIOC,2025/5/1 20:05,2025/5/1 21:55,321,Aft_10038,110
Flt_15620,RRES,WUZI,2025/5/1 6:45,2025/5/1 9:30,319,Aft_10070,167
Flt_15621,VIOC,MXYE,2025/5/1 11:45,2025/5/1 14:15,321,Aft_10042,139
Flt_15622,VIOC,KCUC,2025/5/1 9:40,2025/5/1 11:40,319,Aft_10059,118
Flt_15623,RTHW,VIOC,2025/5/1 14:25,2025/5/1 15:50,320,Aft_10052,79
Flt_15624,KCUC,VIOC,2025/5/1 12:25,2025/5/1 14:25,319,Aft_10059,100
Flt_15626,KCUC,VIOC,2025/5/1 9:40,2025/5/1 11:40,319,Aft_10069,101
Flt_15627,VIOC,RTHW,2025/5/1 6:25,2025/5/1 7:50,320,Aft_10017,78
Flt_15629,VIOC,KCUC,2025/5/1 7:00,2025/5/1 9:00,319,Aft_10069,115
Flt_15630,MXYE,VIOC,2025/5/1 16:25,2025/5/1 18:50,321,Aft_10066,154
Flt_15632,VIOC,WUZI,2025/5/1 8:20,2025/5/1 10:40,319,Aft_10071,146
Flt_15633,DTEM,VIOC,2025/5/1 9:25,2025/5/1 11:05,320,Aft_10027,90
Flt_15635,VIOC,DTEM,2025/5/1 6:45,2025/5/1 8:30,320,Aft_10027,87
Flt_15636,VIOC,WUZI,2025/5/1 16:15,2025/5/1 18:25,319,Aft_10072,147
Flt_15637,WUZI,VIOC,2025/5/1 11:00,2025/5/1 13:10,319,Aft_10073,117
Flt_15638,VIOC,MXYE,2025/5/1 19:15,2025/5/1 21:45,321,Aft_10042,139
Flt_15640,VIOC,WUZI,2025/5/1 7:30,2025/5/1 9:45,319,Aft_10073,143
Flt_15641,VIOC,MXYE,2025/5/1 12:35,2025/5/1 15:10,321,Aft_10066,140
Flt_15642,WUZI,VIOC,2025/5/1 19:05,2025/5/1 21:10,319,Aft_10073,118
Flt_15643,WUZI,RRES,2025/5/1 19:40,2025/5/1 22:10,319,Aft_10074,145
Flt_15644,RTHW,VIOC,2025/5/1 22:55,2025/5/2 0:25,321,Aft_10019,78
Flt_15645,VIOC,WUZI,2025/5/1 15:30,2025/5/1 18:00,319,Aft_10073,148
Flt_15646,RRES,WUZI,2025/5/1 9:05,2025/5/1 11:50,319,Aft_10074,168
Flt_15647,WUZI,RRES,2025/5/1 10:20,2025/5/1 12:40,319,Aft_10070,144
Flt_15648,MXYE,VIOC,2025/5/1 15:30,2025/5/1 18:00,321,Aft_10042,154
Flt_15649,WUZI,VIOC,2025/5/1 11:50,2025/5/1 13:55,319,Aft_10072,117
Flt_15650,VIOC,RTHW,2025/5/1 21:55,2025/5/1 23:25,321,Aft_10037,81
Flt_15651,WGAC,VIOC,2025/5/1 12:00,2025/5/1 16:15,321,Aft_10051,254
Flt_15652,VIOC,WGAC,2025/5/1 7:15,2025/5/1 10:55,321,Aft_10051,218
Flt_15653,TYHI,RTHW,2025/5/1 17:40,2025/5/1 20:35,320,Aft_10029,178
Flt_15654,UICV,TYHI,2025/5/1 14:40,2025/5/1 16:50,320,Aft_10029,120
Flt_15655,PKYJ,VIOC,2025/5/1 22:35,2025/5/2 0:40,321,Aft_10046,104
Flt_15656,VSZH,VIOC,2025/5/1 18:40,2025/5/1 22:40,321,Aft_10075,248
Flt_15657,VIOC,PKYJ,2025/5/1 19:55,2025/5/1 21:45,321,Aft_10046,103
Flt_15658,TYHI,UICV,2025/5/1 11:45,2025/5/1 13:40,320,Aft_10029,116
Flt_15659,RTHW,TYHI,2025/5/1 7:55,2025/5/1 10:55,320,Aft_10029,158
Flt_15660,VIOC,VSZH,2025/5/1 12:55,2025/5/1 17:35,321,Aft_10075,282
Flt_15661,TEEO,VIOC,2025/5/1 8:15,2025/5/1 9:35,321,Aft_10065,93
Flt_15662,TPWY,VIOC,2025/5/1 12:30,2025/5/1 16:50,321,Aft_10055,258
Flt_15663,VIOC,TEEO,2025/5/1 6:10,2025/5/1 7:25,321,Aft_10065,82
Flt_15664,RRES,RTHW,2025/5/1 15:30,2025/5/1 17:00,320,Aft_10076,87
Flt_15665,VIOC,TPWY,2025/5/1 6:55,2025/5/1 10:55,321,Aft_10055,228
Flt_15666,PKYJ,RRES,2025/5/1 12:35,2025/5/1 14:25,320,Aft_10076,108
Flt_15667,FDOQ,RTHW,2025/5/1 21:40,2025/5/2 0:35,320,Aft_10077,176
Flt_15668,BTTC,VIOC,2025/5/1 19:00,2025/5/1 22:25,320,Aft_10056,205
Flt_15669,UICV,VIOC,2025/5/1 11:25,2025/5/1 15:25,320,Aft_10064,240
Flt_15670,RTHW,FDOQ,2025/5/1 17:55,2025/5/1 20:50,320,Aft_10077,157
Flt_15671,VIOC,BTTC,2025/5/1 14:20,2025/5/1 17:45,320,Aft_10056,220
Flt_15672,RRES,PKYJ,2025/5/1 10:00,2025/5/1 11:45,320,Aft_10076,111
Flt_15673,VIOC,UICV,2025/5/1 7:05,2025/5/1 10:15,321,Aft_10078,194
Flt_15674,RTHW,RRES,2025/5/1 6:45,2025/5/1 8:25,320,Aft_10076,82
Flt_15675,RTHW,WNMV,2025/5/1 6:40,2025/5/1 9:45,320,Aft_10077,170
Flt_15676,AHZP,RTHW,2025/5/1 19:05,2025/5/1 21:45,321,Aft_10019,159
Flt_15677,RTHW,AHZP,2025/5/1 15:40,2025/5/1 18:15,321,Aft_10019,139
Flt_15678,VRYX,RTHW,2025/5/1 14:45,2025/5/1 17:00,320,Aft_10079,130
Flt_15679,SHZB,VRYX,2025/5/1 12:35,2025/5/1 13:55,320,Aft_10079,82
Flt_15680,MXYE,RTHW,2025/5/1 6:35,2025/5/1 8:50,320,Aft_10020,130
Flt_15681,ORXC,RTHW,2025/5/1 18:20,2025/5/1 20:00,320,Aft_10080,96
Flt_15682,GDHI,ORXC,2025/5/1 15:35,2025/5/1 17:30,320,Aft_10080,113
Flt_15683,VWSF,RTHW,2025/5/1 22:30,2025/5/2 1:55,320,Aft_10081,217
Flt_15684,RTHW,DQUC,2025/5/1 18:05,2025/5/1 21:25,320,Aft_10079,195
Flt_15685,ORXC,GDHI,2025/5/1 12:45,2025/5/1 14:35,320,Aft_10080,101
Flt_15686,RTHW,VWSF,2025/5/1 18:05,2025/5/1 21:25,320,Aft_10081,215
Flt_15687,NDUJ,RTHW,2025/5/1 19:20,2025/5/1 22:10,320,Aft_10082,157
Flt_15688,RTHW,ORXC,2025/5/1 10:05,2025/5/1 11:50,320,Aft_10080,101
Flt_15689,TPWY,NDUJ,2025/5/1 15:05,2025/5/1 18:05,320,Aft_10082,178
Flt_15690,WCBM,RTHW,2025/5/1 10:25,2025/5/1 12:55,320,Aft_10083,167
Flt_15691,MLUQ,RTHW,2025/5/1 22:15,2025/5/1 23:55,320,Aft_10083,97
Flt_15692,NDUJ,TPWY,2025/5/1 11:20,2025/5/1 13:50,320,Aft_10084,168
Flt_15693,DQUC,RTHW,2025/5/1 22:25,2025/5/2 1:45,320,Aft_10079,212
Flt_15694,XVFW,MLUQ,2025/5/1 19:20,2025/5/1 21:30,320,Aft_10083,125
Flt_15695,RTHW,NDUJ,2025/5/1 7:35,2025/5/1 10:15,320,Aft_10084,152
Flt_15696,XWBW,RTHW,2025/5/1 23:55,2025/5/2 1:05,320,Aft_10017,59
Flt_15697,RTHW,WCBM,2025/5/1 6:50,2025/5/1 9:25,320,Aft_10083,139
Flt_15698,MLUQ,XVFW,2025/5/1 16:30,2025/5/1 18:25,320,Aft_10083,118
Flt_15699,RTHW,MLUQ,2025/5/1 14:10,2025/5/1 15:45,320,Aft_10083,101
Flt_15700,WNMV,RTHW,2025/5/1 10:50,2025/5/1 14:05,320,Aft_10077,189
Flt_15701,RTHW,XWBW,2025/5/1 22:05,2025/5/1 23:10,320,Aft_10017,68
Flt_15702,KYFK,RRES,2025/5/1 16:25,2025/5/1 18:05,321,Aft_10085,91
Flt_15703,KQCH,RRES,2025/5/1 23:45,2025/5/2 1:30,321,Aft_10086,105
Flt_15704,RERF,RRES,2025/5/1 13:55,2025/5/1 16:50,320,Aft_10087,164
Flt_15705,RTHW,MTLP,2025/5/1 18:20,2025/5/1 21:25,320,Aft_10076,173
Flt_15706,RRES,KYFK,2025/5/1 14:00,2025/5/1 15:25,321,Aft_10085,90
Flt_15707,RRES,KQCH,2025/5/1 21:10,2025/5/1 23:00,321,Aft_10086,107
Flt_15708,RRES,RERF,2025/5/1 10:40,2025/5/1 13:05,320,Aft_10087,147
Flt_15709,AICJ,RRES,2025/5/1 10:25,2025/5/1 12:55,321,Aft_10085,158
Flt_15710,EFSS,RRES,2025/5/1 10:10,2025/5/1 12:35,321,Aft_10086,143
Flt_15711,JZAO,RRES,2025/5/1 23:10,2025/5/2 1:55,320,Aft_10088,166
