crewId,base,stayStation
Crew_10193,RTHW,RTHW
Crew_10195,RRES,RRES
Crew_10196,VWSF,VWSF
Crew_10197,RRES,RRES
Crew_10198,RTHW,RTHW
Crew_10199,VIOC,VIOC
Crew_10200,VIOC,VIOC
Crew_10201,RTHW,RTHW
Crew_10202,VIOC,VIOC
Crew_10204,RRES,RRES
Crew_10205,VIOC,VIOC
Crew_10206,VIOC,VIOC
Crew_10207,VIOC,VIOC
Crew_10209,RRES,SLPJ
Crew_10210,RRES,RRES
Crew_10211,VIOC,VIOC
Crew_10212,VIOC,TPWY
Crew_10213,VIOC,VIOC
Crew_10215,VIOC,VIOC
Crew_10216,VIOC,VIOC
Crew_10217,VIOC,VIOC
Crew_10218,VIOC,VIOC
Crew_10219,VIOC,VIOC
Crew_10220,VIOC,VIOC
Crew_10221,VIOC,VIOC
Crew_10223,VIOC,VIOC
Crew_10224,VIOC,VIOC
Crew_10225,VIOC,VIOC
Crew_10226,VIOC,VIOC
Crew_10227,RTHW,RTHW
Crew_10228,VIOC,VWTX
Crew_10231,VIOC,VIOC
Crew_10232,VIOC,VIOC
Crew_10233,VIOC,XFJN
Crew_10237,VIOC,VIOC
Crew_10239,VIOC,VIOC
Crew_10241,RRES,RRES
Crew_10242,VIOC,VIOC
Crew_10243,VIOC,VIOC
Crew_10244,VIOC,VIOC
Crew_10249,RRES,RRES
Crew_10250,VIOC,VIOC
Crew_10251,VIOC,VIOC
Crew_10252,ENDP,ENDP
Crew_10253,RRES,RRES
Crew_10254,VIOC,VIOC
Crew_10255,VWSF,VWSF
Crew_10256,VIOC,VIOC
Crew_10257,VIOC,VIOC
Crew_10258,VIOC,VIOC
Crew_10261,RTHW,NDUJ
Crew_10262,RRES,RRES
Crew_10263,VIOC,VIOC
Crew_10265,VIOC,VIOC
Crew_10266,VIOC,VIOC
Crew_10267,VIOC,VIOC
Crew_10268,RRES,RRES
Crew_10269,VIOC,VIOC
Crew_10270,VIOC,VIOC
Crew_10271,VIOC,YTYE
Crew_10272,RTHW,RTHW
Crew_10274,VIOC,VIOC
Crew_10275,VIOC,VIOC
Crew_10276,VIOC,VIOC
Crew_10277,VIOC,VIOC
Crew_10278,TPWY,TPWY
Crew_10279,VIOC,VIOC
Crew_10280,VIOC,VIOC
Crew_10281,VIOC,VIOC
Crew_10282,VIOC,VIOC
Crew_10283,RRES,RRES
Crew_10284,VIOC,TPWY
Crew_10285,VIOC,VIOC
Crew_10287,VIOC,VIOC
Crew_10288,VIOC,VIOC
Crew_10291,VIOC,VIOC
Crew_10292,VIOC,RTWL
Crew_10293,VIOC,TEEO
Crew_10294,VIOC,VIOC
Crew_10295,VIOC,VIOC
Crew_10297,VIOC,VIOC
Crew_10299,VIOC,VIOC
Crew_10300,VIOC,VIOC
Crew_10301,VIOC,VIOC
Crew_10302,VIOC,VIOC
Crew_10303,VIOC,VIOC
Crew_10304,VIOC,VIOC
Crew_10305,VIOC,RRES
Crew_10306,VIOC,VWTX
Crew_10308,VIOC,VIOC
Crew_10310,RRES,RRES
Crew_10311,VIOC,VIOC
Crew_10312,VIOC,VIOC
Crew_10313,RRES,RRES
Crew_10314,VIOC,VIOC
Crew_10316,VIOC,VIOC
Crew_10317,VIOC,VIOC
Crew_10318,RRES,RRES
Crew_10319,VIOC,VIOC
Crew_10321,VIOC,VIOC
Crew_10322,VWSF,VWSF
Crew_10323,RRES,RRES
Crew_10325,RTHW,RTHW
Crew_10327,ENDP,ENDP
Crew_10328,VIOC,VIOC
Crew_10329,ENDP,ENDP
Crew_10330,VIOC,TPWY
Crew_10332,RRES,TPWY
Crew_10333,VIOC,VIOC
Crew_10334,DQUC,DQUC
Crew_10335,VIOC,VIOC
Crew_10336,VIOC,VIOC
Crew_10337,VIOC,VIOC
Crew_10338,VIOC,VIOC
Crew_10341,TATC,TATC
Crew_10342,VIOC,TATC
Crew_10343,VIOC,VIOC
Crew_10344,RRES,RRES
Crew_10345,VIOC,ENDP
Crew_10346,VIOC,VIOC
Crew_10347,RRES,RRES
Crew_10348,TPWY,TPWY
Crew_10350,VIOC,VWTX
Crew_10351,VIOC,VIOC
Crew_10352,VIOC,VIOC
Crew_10353,RRES,SLPJ
Crew_10354,RTHW,RTHW
Crew_10355,RRES,RRES
Crew_10356,VIOC,VWTX
Crew_10357,VIOC,VIOC
Crew_10359,VIOC,VIOC
Crew_10361,VIOC,VIOC
Crew_10362,RTHW,CVBE
Crew_10363,VIOC,VIOC
Crew_10364,RRES,RRES
Crew_10365,VIOC,VIOC
Crew_10366,VIOC,VIOC
Crew_10367,RRES,BTTC
Crew_10368,VIOC,VIOC
Crew_10369,VIOC,VIOC
Crew_10370,TATC,TATC
Crew_10371,RRES,BTTC
Crew_10372,VIOC,VIOC
Crew_10373,VIOC,TATC
Crew_10374,VIOC,VIOC
Crew_10375,VIOC,VIOC
Crew_10376,VIOC,VIOC
Crew_10377,RRES,RRES
Crew_10378,VIOC,RTWL
Crew_10380,VIOC,VIOC
Crew_10381,VIOC,VIOC
Crew_10384,VIOC,VIOC
Crew_10386,RTHW,RTHW
Crew_10387,VIOC,RTWL
Crew_10388,VIOC,BTTC
Crew_10389,RRES,RRES
Crew_10390,RRES,RRES
Crew_10391,VIOC,VIOC
Crew_10392,VIOC,VIOC
Crew_10393,VIOC,VIOC
Crew_10394,RTHW,RTHW
Crew_10395,ENDP,ENDP
Crew_10397,RRES,RRES
Crew_10398,RTHW,XVFW
Crew_10400,VIOC,VIOC
Crew_10401,VIOC,VIOC
Crew_10403,ENDP,ENDP
Crew_10404,VIOC,VIOC
Crew_10405,VIOC,VIOC
Crew_10406,VIOC,VIOC
Crew_10407,VIOC,IKRZ
Crew_10409,VIOC,TATC
Crew_10410,VIOC,VIOC
Crew_10411,ENDP,ENDP
Crew_10412,RRES,VIOC
Crew_10413,ENDP,ENDP
Crew_10414,VIOC,VIOC
Crew_10415,VIOC,VIOC
Crew_10416,RRES,RRES
Crew_10417,VIOC,RTWL
Crew_10419,VIOC,TPWY
Crew_10420,VIOC,VIOC
Crew_10421,VIOC,VIOC
Crew_10422,VIOC,VIOC
Crew_10423,VIOC,VIOC
Crew_10424,VIOC,VIOC
Crew_10425,VIOC,VIOC
Crew_10426,VIOC,VIOC
Crew_10428,VIOC,VIOC
Crew_10429,VIOC,VIOC
Crew_10430,VIOC,VIOC
Crew_10431,RRES,RRES
Crew_10432,VIOC,VIOC
Crew_10433,RRES,MXYE
Crew_10434,VIOC,VIOC
Crew_10435,ENDP,ENDP
Crew_10436,RRES,RRES
Crew_10437,VIOC,VIOC
Crew_10438,RTHW,RTHW
Crew_10439,RRES,RRES
Crew_10440,VIOC,TATC
Crew_10441,VIOC,VIOC
Crew_10442,VIOC,VIOC
Crew_10443,RTHW,RTHW
Crew_10444,RRES,RRES
Crew_10445,VIOC,VIOC
Crew_10447,RRES,RRES
Crew_10448,RTHW,NDUJ
Crew_10449,VIOC,VIOC
Crew_10450,VIOC,VIOC
Crew_10451,VIOC,VIOC
Crew_10452,VIOC,VIOC
Crew_10453,VIOC,VIOC
Crew_10454,RTHW,XVFW
Crew_10455,RRES,BTTC
Crew_10456,VIOC,VIOC
Crew_10458,VIOC,VIOC
Crew_10459,VIOC,VIOC
Crew_10461,VIOC,VIOC
Crew_10462,RRES,BTTC
Crew_10464,VWSF,VWSF
Crew_10465,RRES,RRES
Crew_10466,RRES,RRES
Crew_10467,VIOC,VIOC
Crew_10468,VIOC,VIOC
Crew_10469,VIOC,VIOC
Crew_10470,RTWL,RTWL
Crew_10471,VIOC,VIOC
Crew_10472,VIOC,VIOC
Crew_10473,VIOC,VIOC
Crew_10474,VIOC,VIOC
Crew_10475,RRES,RRES
Crew_10476,RRES,RRES
Crew_10477,RTHW,RTHW
Crew_10478,VIOC,VIOC
Crew_10480,VIOC,VIOC
Crew_10481,RRES,SLPJ
Crew_10482,VIOC,RTWL
Crew_10483,VIOC,VWTX
Crew_10484,VIOC,VIOC
Crew_10485,RRES,RRES
Crew_10486,VIOC,VIOC
Crew_10487,VIOC,VIOC
Crew_10488,VIOC,VWSF
Crew_10489,VIOC,VIOC
Crew_10490,VIOC,RTWL
Crew_10491,RTHW,RTHW
Crew_10492,RRES,RRES
Crew_10493,VIOC,VIOC
Crew_10495,VIOC,VIOC
Crew_10496,VIOC,VIOC
Crew_10497,RRES,RRES
Crew_10498,RTHW,TPWY
Crew_10500,VIOC,DQUC
Crew_10501,VIOC,VIOC
Crew_10503,VIOC,VIOC
Crew_10504,VWSF,VWSF
Crew_10505,RTHW,TPWY
Crew_10506,VIOC,VIOC
Crew_10507,VIOC,VIOC
Crew_10508,VIOC,VIOC
Crew_10509,RRES,RRES
Crew_10510,RTHW,RTHW
Crew_10511,VIOC,VIOC
Crew_10512,VIOC,VIOC
Crew_10513,VIOC,VWSF
Crew_10515,VIOC,VIOC
Crew_10516,VIOC,VWSF
Crew_10517,RRES,RRES
Crew_10518,RTHW,JFEE
Crew_10519,VIOC,VIOC
Crew_10520,RTHW,RTHW
Crew_10521,VIOC,VIOC
Crew_10522,VIOC,VIOC
Crew_10523,VIOC,VWSF
Crew_10524,VIOC,VIOC
Crew_10526,VIOC,VIOC
Crew_10527,VIOC,VIOC
Crew_10528,VIOC,VIOC
Crew_10529,VIOC,VIOC
Crew_10530,DQUC,TPWY
Crew_10531,VIOC,VIOC
Crew_10532,VIOC,ENDP
Crew_10533,VIOC,VIOC
Crew_10534,VIOC,VIOC
Crew_10535,VIOC,VIOC
Crew_10536,RRES,RRES
Crew_10537,VIOC,VIOC
Crew_10539,VIOC,VIOC
Crew_10540,RRES,RRES
Crew_10541,RTHW,RTHW
Crew_10542,RTWL,RTWL
Crew_10543,RRES,RRES
Crew_10544,VIOC,VIOC
Crew_10545,VIOC,VWSF
Crew_10546,VIOC,CVBE
Crew_10548,VIOC,VWSF
Crew_10549,VIOC,VIOC
Crew_10550,VIOC,VIOC
Crew_10551,RRES,XVFW
Crew_10553,VIOC,JFEE
Crew_10554,VIOC,VIOC
Crew_10555,VIOC,VIOC
Crew_10556,VIOC,VIOC
Crew_10557,VIOC,VIOC
Crew_10558,VIOC,ENDP
Crew_10559,VIOC,VIOC
Crew_10560,VIOC,VIOC
Crew_10561,VIOC,VIOC
Crew_10563,RRES,RRES
Crew_10564,VIOC,STEC
Crew_10566,RRES,RRES
Crew_10567,RTHW,RRES
Crew_10569,VIOC,VIOC
Crew_10570,VIOC,TPWY
Crew_10571,VIOC,TATC
Crew_10572,VIOC,VIOC
Crew_10573,VIOC,VIOC
Crew_10574,VIOC,VIOC
Crew_10575,VIOC,VIOC
Crew_10576,RRES,RRES
Crew_10577,VIOC,VIOC
Crew_10578,RRES,TPWY
Crew_10579,RTHW,JFEE
Crew_10580,VIOC,VIOC
Crew_10582,VIOC,VIOC
Crew_10583,RRES,ENDP
Crew_10584,RTHW,TPWY
Crew_10585,RRES,RRES
Crew_10586,RTHW,RTHW
Crew_10588,VIOC,VIOC
Crew_10590,RTHW,TEEO
Crew_10592,RRES,BTTC
Crew_10593,VIOC,VIOC
Crew_10594,ENDP,ENDP
Crew_10595,VIOC,VIOC
Crew_10597,RTHW,RTHW
Crew_10598,VIOC,VIOC
Crew_10599,TPWY,TPWY
Crew_10600,RRES,RRES
Crew_10601,RTHW,RTHW
Crew_10602,RRES,RRES
Crew_10603,TATC,TATC
Crew_10604,RTHW,TPWY
Crew_10605,VIOC,VIOC
Crew_10606,RRES,RRES
Crew_10608,VIOC,VIOC
Crew_10609,RTHW,RTHW
Crew_10610,VIOC,VIOC
Crew_10611,VIOC,TPWY
Crew_10612,RTHW,VIOC
Crew_10613,VIOC,RTWL
Crew_10614,RRES,RTWL
Crew_10615,RTHW,RTHW
Crew_10616,TATC,TATC
Crew_10617,RRES,RRES
Crew_10618,VIOC,VWSF
Crew_10619,RRES,RRES
Crew_10620,ENDP,ENDP
Crew_10622,VIOC,VIOC
Crew_10623,VIOC,VIOC
Crew_10624,VIOC,VIOC
Crew_10626,VIOC,VIOC
Crew_10627,RRES,BTTC
Crew_10629,VIOC,TATC
Crew_10630,ENDP,ENDP
Crew_10631,RRES,RRES
Crew_10632,VIOC,VIOC
Crew_10633,VIOC,VIOC
Crew_10634,VIOC,VIOC
Crew_10635,VIOC,VIOC
Crew_10636,VIOC,VIOC
Crew_10637,ENDP,ENDP
Crew_10638,RTHW,RTHW
Crew_10639,RRES,RRES
Crew_10640,VIOC,VIOC
Crew_10641,VIOC,VIOC
Crew_10642,RTHW,RTHW
Crew_10643,VIOC,VIOC
Crew_10645,RRES,BTTC
Crew_10646,VIOC,VIOC
Crew_10647,RRES,RRES
Crew_10648,VIOC,VIOC
Crew_10649,RTHW,RTHW
Crew_10650,RRES,RRES
Crew_10651,VIOC,SLPJ
Crew_10652,RTHW,RTHW
Crew_10653,VIOC,VIOC
Crew_10654,VIOC,VIOC
Crew_10656,VIOC,VIOC
Crew_10657,VIOC,VIOC
Crew_10658,VIOC,VIOC
Crew_10659,RTHW,RTHW
Crew_10660,RRES,RRES
Crew_10661,VIOC,VIOC
Crew_10663,VIOC,VIOC
Crew_10664,VIOC,VIOC
Crew_10665,DQUC,DQUC
Crew_10666,VIOC,VIOC
Crew_10667,VIOC,VIOC
Crew_10668,VIOC,VIOC
Crew_10669,ENDP,ENDP
Crew_10670,TATC,TATC
Crew_10671,TATC,TATC
Crew_10672,VIOC,VIOC
Crew_10673,VIOC,VIOC
Crew_10674,RRES,JFEE
Crew_10675,VIOC,TATC
Crew_10676,VIOC,VIOC
Crew_10677,VIOC,VIOC
Crew_10679,RRES,RRES
Crew_10680,VIOC,VIOC
Crew_10681,VIOC,VIOC
Crew_10682,VIOC,VIOC
Crew_10683,RRES,RRES
Crew_10684,RTHW,RTHW
Crew_10685,RRES,RRES
Crew_10686,VIOC,ENDP
Crew_10687,VIOC,TPWY
Crew_10689,TPWY,UICV
Crew_10690,VIOC,VIOC
Crew_10693,VIOC,VIOC
Crew_10694,VIOC,VIOC
Crew_10695,VIOC,VIOC
Crew_10696,VIOC,VIOC
Crew_10698,VIOC,VIOC
Crew_10699,VIOC,XFJN
Crew_10701,VIOC,ZWFQ
Crew_10702,RTHW,TPWY
Crew_10703,RTHW,ENDP
Crew_10704,TPWY,TPWY
Crew_10705,RRES,RRES
Crew_10706,VIOC,ENDP
Crew_10707,RRES,RRES
Crew_10708,VIOC,RTWL
Crew_10709,RTHW,RTHW
Crew_10713,RRES,RRES
Crew_10715,VIOC,VIOC
Crew_10716,VIOC,VIOC
Crew_10718,VIOC,VIOC
Crew_10719,RTHW,TPWY
Crew_10722,TATC,TATC
Crew_10723,VIOC,VIOC
Crew_10724,TATC,TATC
Crew_10726,VIOC,VIOC
Crew_10727,VWSF,VIOC
Crew_10728,RTHW,RTHW
Crew_10729,RRES,RRES
Crew_10730,RRES,CVBE
Crew_10731,VIOC,VIOC
Crew_10732,TPWY,TPWY
Crew_10734,ENDP,ENDP
Crew_10735,VIOC,VIOC
Crew_10736,RTHW,ENDP
Crew_10737,VIOC,XVFW
Crew_10738,RTHW,TPWY
Crew_10739,VIOC,VIOC
Crew_10740,VIOC,VIOC
Crew_10741,RTHW,RTHW
Crew_10742,RTHW,RTHW
Crew_10743,VIOC,VWTX
Crew_10744,VIOC,VIOC
Crew_10745,RTHW,RTHW
Crew_10746,RRES,RRES
Crew_10747,RRES,RRES
Crew_10748,TPWY,TPWY
Crew_10750,VIOC,VIOC
Crew_10752,VIOC,RTWL
Crew_10753,RRES,BTTC
Crew_10754,RTHW,RTHW
Crew_10757,RTHW,RTHW
Crew_10759,VIOC,ENDP
Crew_10760,VIOC,VIOC
Crew_10763,VIOC,VIOC
Crew_10767,RRES,RRES
Crew_10768,RTHW,RTHW
Crew_10769,VIOC,VIOC
Crew_10770,VIOC,VIOC
Crew_10771,RRES,RRES
Crew_10772,VIOC,RTWL
Crew_10773,VIOC,VIOC
Crew_10774,RRES,BTTC
Crew_10775,VIOC,JFEE
Crew_10776,VIOC,VIOC
Crew_10778,VIOC,VIOC
Crew_10779,VIOC,VIOC
Crew_10780,VIOC,VIOC
Crew_10782,VIOC,MXYE
Crew_10783,VIOC,VIOC
Crew_10784,RRES,RRES
Crew_10785,VIOC,VIOC
Crew_10786,VIOC,VIOC
Crew_10787,VIOC,VIOC
Crew_10788,RRES,RRES
Crew_10789,RTHW,RTHW
Crew_10790,DQUC,DQUC
Crew_10791,RRES,VIOC
Crew_10793,VIOC,VIOC
Crew_10794,RTWL,RTWL
Crew_10795,VIOC,VIOC
Crew_10796,VIOC,VIOC
Crew_10797,TATC,TATC
Crew_10799,VIOC,VIOC
Crew_10800,VIOC,VIOC
Crew_10801,VIOC,VIOC
Crew_10802,VIOC,VIOC
Crew_10803,RTWL,RTWL
Crew_10804,VIOC,VIOC
Crew_10805,VIOC,VIOC
Crew_10806,VIOC,VIOC
Crew_10807,VIOC,TATC
Crew_10808,VIOC,ENDP
Crew_10809,RTWL,VIOC
Crew_10810,VIOC,VIOC
Crew_10811,ENDP,ENDP
Crew_10812,VIOC,XKVP
Crew_10814,VIOC,VIOC
Crew_10815,RRES,RRES
Crew_10816,VIOC,VIOC
Crew_10817,VIOC,VIOC
Crew_10818,VIOC,VIOC
Crew_10819,VIOC,RTWL
Crew_10820,VIOC,ENDP
Crew_10822,VIOC,RTWL
Crew_10823,VIOC,MXYE
Crew_10824,RRES,RRES
Crew_10825,VIOC,YTYE
Crew_10826,VIOC,VIOC
Crew_10827,VIOC,VIOC
Crew_10828,VIOC,VIOC
Crew_10829,VIOC,VIOC
Crew_10830,VIOC,VIOC
Crew_10831,RRES,RRES
Crew_10832,VIOC,VIOC
Crew_10833,VIOC,VIOC
Crew_10834,VIOC,VIOC
Crew_10835,VIOC,XKVP
Crew_10836,TPWY,TPWY
Crew_10837,VIOC,VIOC
Crew_10838,VIOC,TATC
Crew_10839,VIOC,TATC
Crew_10840,RRES,SLPJ
Crew_10841,RRES,RRES
Crew_10842,RRES,JFEE
Crew_10843,RRES,JFEE
Crew_10844,RRES,RRES
Crew_10845,VIOC,VIOC
Crew_10846,RRES,RRES
Crew_10847,VIOC,VIOC
Crew_10848,VIOC,VIOC
Crew_10849,VIOC,VIOC
Crew_10850,VIOC,VIOC
Crew_10851,VIOC,VWSF
Crew_10852,RTHW,RTHW
Crew_10853,RRES,SLPJ
Crew_10855,RTHW,RTHW
Crew_10856,VIOC,VIOC
Crew_10857,RRES,RRES
Crew_10858,RRES,RRES
Crew_10859,VIOC,TATC
Crew_10860,VIOC,RTWL
Crew_10861,VIOC,VWSF
Crew_10862,TATC,VIOC
Crew_10863,RTWL,RTWL
Crew_10864,VIOC,VIOC
Crew_10865,VIOC,VIOC
Crew_10866,VIOC,VGQZ
Crew_10867,RTHW,RTHW
Crew_10868,ENDP,ENDP
Crew_10870,RTHW,RTHW
Crew_10871,ENDP,ENDP
Crew_10872,ENDP,ENDP
Crew_10873,RTHW,RTHW
Crew_10887,RTHW,RTHW
Crew_10889,RRES,RRES
Crew_10891,VIOC,VIOC
Crew_10892,VIOC,VIOC
