id,flightNo,depaAirport,arriAirport,std,sta,fleet,aircraftNo,flyTime
Flt_100057,OM8423,DOMU,KKME,2025/5/30 14:15,2025/5/30 16:50,738,Aft_10048,172
Flt_100058,OM8072,HEJY,BBZB,2025/5/30 15:25,2025/5/30 18:15,738,Aft_10049,128
Flt_100059,OM8156,MPYS,HZPW,2025/5/31 20:00,2025/5/31 22:30,7M8,Aft_10050,149
Flt_100060,OM8270,FVJZ,HZPW,2025/5/31 11:30,2025/5/31 14:05,738,Aft_10051,149
Flt_100061,OM8091,HUYM,WKDC,2025/5/31 10:20,2025/5/31 12:20,738,Aft_10052,110
Flt_100062,OM8578,GLHV,AAHN,2025/5/31 10:55,2025/5/31 12:45,738,Aft_10053,102
Flt_100063,OM8788,QGSX,OXSQ,2025/5/31 12:35,2025/5/31 14:30,738,Aft_10054,101
Flt_100064,OM8681,DOMU,NVMB,2025/5/31 12:25,2025/5/31 14:00,738,Aft_10055,85
Flt_100065,OM8224,SFRI,DOMU,2025/5/31 18:00,2025/5/31 20:25,738,Aft_10008,138
Flt_100066,OM8319,EYWR,PNNF,2025/5/31 9:05,2025/5/31 11:20,738,Aft_10056,144
Flt_100067,OM8321,EYWR,UXVH,2025/5/31 7:00,2025/5/31 10:05,738,Aft_10057,181
Flt_100068,OM8287,NLLA,LLZL,2025/5/31 10:00,2025/5/31 11:55,738,Aft_10058,118
Flt_100069,OM8866,WJBA,KKME,2025/5/29 18:10,2025/5/29 20:10,738,Aft_10021,112
Flt_100070,OM8791,HZPW,VUWJ,2025/6/1 18:45,2025/6/1 20:50,738,Aft_10036,140
Flt_100071,OM8033,HZPW,OETZ,2025/6/1 7:20,2025/6/1 9:55,738,Aft_10059,161
Flt_100072,OM8474,KKME,EYWR,2025/6/1 22:05,2025/6/2 0:05,738,Aft_10060,126
Flt_100073,OM8217,DOMU,FVJZ,2025/6/1 10:00,2025/6/1 12:50,7M8,Aft_10001,187
Flt_100074,OM8091,HUYM,WKDC,2025/5/29 10:20,2025/5/29 12:20,738,Aft_10037,110
Flt_100075,OM8070,OKJK,OXSQ,2025/5/29 18:05,2025/5/29 20:30,738,Aft_10008,135
Flt_100076,OM8341,HEJY,DOMU,2025/5/29 7:40,2025/5/29 11:50,738,Aft_10054,254
Flt_100077,OM840,HEXD,DOMU,2025/6/1 17:55,2025/6/1 21:25,738,Aft_10061,231
Flt_100078,OM8767,HZPW,NBCQ,2025/6/1 13:30,2025/6/1 15:10,738,Aft_10036,107
Flt_100079,OM8419,NLLA,QGSX,2025/5/29 7:40,2025/5/29 10:45,738,Aft_10062,178
Flt_100080,OM8462,KKME,HZPW,2025/6/1 11:15,2025/6/1 13:45,738,Aft_10063,133
Flt_100081,OM8104,NLLA,DOMU,2025/5/29 7:45,2025/5/29 10:25,738,Aft_10036,166
Flt_100082,OM870,NMUI,DOMU,2025/6/1 16:40,2025/6/1 18:40,738,Aft_10058,123
Flt_100083,OM8609,AAHN,VGVC,2025/6/1 16:35,2025/6/1 19:00,738,Aft_10064,148
Flt_100084,OM8503,EYWR,BBZB,2025/5/29 8:00,2025/5/29 9:40,738,Aft_10065,105
Flt_100085,OM8251,SFRI,FGIR,2025/5/29 11:15,2025/5/29 13:10,7M8,Aft_10066,127
Flt_100086,OM8252,FGIR,SFRI,2025/5/29 14:00,2025/5/29 15:55,7M8,Aft_10066,114
Flt_100087,OM8324,PNNF,HZPW,2025/6/1 11:15,2025/6/1 13:00,738,Aft_10067,89
Flt_100088,OM8378,VWIM,GLHV,2025/5/29 17:25,2025/5/29 19:50,7M8,Aft_10068,123
Flt_100089,OM8050,WKDC,EYWR,2025/5/29 11:45,2025/5/29 14:15,738,Aft_10042,160
Flt_100090,OM8550,VOXP,DOMU,2025/6/1 16:10,2025/6/1 17:55,738,Aft_10039,106
Flt_100091,OM8704,YBWQ,EYWR,2025/6/1 14:50,2025/6/1 20:25,738,Aft_10031,311
Flt_100092,OM8555,NLLA,YAFY,2025/5/29 17:30,2025/5/29 19:35,738,Aft_10035,123
Flt_100093,OM8556,YAFY,NLLA,2025/5/29 20:45,2025/5/29 22:55,738,Aft_10035,136
Flt_100094,OM888,SJQD,DOMU,2025/5/29 11:10,2025/5/29 12:50,738,Aft_10033,105
Flt_100096,OM8043,EYWR,HGHY,2025/5/29 9:45,2025/5/29 12:40,738,Aft_10060,178
Flt_100097,OM8180,MPYS,EYWR,2025/5/29 9:50,2025/5/29 11:50,738,Aft_10069,120
Flt_100098,OM8233,DOMU,SFRI,2025/5/29 6:45,2025/5/29 9:00,738,Aft_10070,142
Flt_100099,OM8759,HZPW,IEMU,2025/5/29 8:30,2025/5/29 12:05,737GY,Aft_10071,231
Flt_100100,OM8805,HEJY,VWIM,2025/6/1 19:05,2025/6/1 23:45,738,Aft_10007,280
Flt_100101,OM8234,WJBA,SFRI,2025/5/29 13:05,2025/5/29 15:05,738,Aft_10072,117
Flt_100102,OM8384,VWIM,EYWR,2025/5/29 10:35,2025/5/29 13:00,738,Aft_10073,114
Flt_100103,OM8720,NVMB,EYWR,2025/5/29 18:20,2025/5/29 20:30,738,Aft_10046,132
Flt_100104,OM8040,WKDC,XCCH,2025/5/29 8:45,2025/5/29 11:40,738,Aft_10074,171
Flt_100105,OM8494,YITW,EYWR,2025/6/1 20:55,2025/6/1 23:30,738,Aft_10075,142
Flt_100106,OM880,SJQD,HZPW,2025/6/1 11:25,2025/6/1 13:00,738,Aft_10027,97
Flt_100107,OM8672,NVMB,HZPW,2025/6/1 17:30,2025/6/1 19:20,738,Aft_10067,93
Flt_100108,OM8516,GLHV,AAHN,2025/6/1 22:15,2025/6/1 23:55,738,Aft_10053,102
Flt_100109,OM8840,KREM,EYWR,2025/5/29 17:35,2025/5/29 20:00,738,Aft_10064,118
Flt_100110,OM8062,XCHB,EYWR,2025/6/1 21:50,2025/6/1 23:55,738,Aft_10076,130
Flt_100112,OM8376,XLOC,DOMU,2025/6/1 10:05,2025/6/1 11:55,7M8,Aft_10077,101
Flt_100113,OM8227,DOMU,FVJZ,2025/6/1 13:00,2025/6/1 15:50,738,Aft_10008,187
Flt_100114,OM8604,HIUP,EYWR,2025/5/29 16:05,2025/5/29 17:35,738,Aft_10030,82
Flt_100115,OM8167,OXSQ,LFOL,2025/5/29 15:10,2025/5/29 17:45,7M8,Aft_10011,145
Flt_100116,OM8453,NLLA,KKME,2025/5/30 19:55,2025/5/30 22:50,738,Aft_10019,165
Flt_100117,OM8572,OKJK,DOMU,2025/5/30 11:35,2025/5/30 14:10,7M8,Aft_10078,145
Flt_100118,OM8770,IEMU,DOMU,2025/5/30 12:25,2025/5/30 15:10,73G,Aft_10079,159
Flt_100119,OM886,YBWQ,DOMU,2025/5/30 8:55,2025/5/30 13:20,738,Aft_10080,253
Flt_100120,OM8319,EYWR,PNNF,2025/5/30 9:05,2025/5/30 11:20,738,Aft_10075,144
Flt_100121,OM8864,HQMU,DOMU,2025/5/30 21:30,2025/5/31 0:10,738,Aft_10008,153
Flt_100122,OM8122,HIUP,HZPW,2025/5/30 17:25,2025/5/30 19:00,738,Aft_10081,94
Flt_100123,OM8251,SFRI,FGIR,2025/5/30 11:15,2025/5/30 13:10,7M8,Aft_10082,127
Flt_100124,OM877,HZPW,FPCR,2025/5/30 15:20,2025/5/30 17:55,738,Aft_10016,150
Flt_100125,OM8819,DSQK,LLZL,2025/5/30 19:45,2025/5/30 22:20,738,Aft_10002,142
Flt_100126,OM8857,GLHV,QGSX,2025/5/31 16:25,2025/5/31 19:30,738,Aft_10083,202
Flt_100127,OM8339,NLLA,PNNF,2025/5/31 17:00,2025/5/31 20:05,738,Aft_10084,198
Flt_100128,OM8385,AAHN,PNNF,2025/5/31 11:15,2025/5/31 12:50,738,Aft_10085,99
Flt_100129,OM8610,VGVC,AAHN,2025/5/31 20:00,2025/5/31 22:15,738,Aft_10085,112
Flt_100130,OM8092,HUYM,OXSQ,2025/5/31 16:05,2025/5/31 17:50,738,Aft_10052,113
Flt_100131,OM8566,DYUE,NLLA,2025/5/31 19:40,2025/5/31 22:05,738,Aft_10003,146
Flt_100132,OM8830,MCWT,OKJK,2025/5/31 7:50,2025/5/31 12:10,738,Aft_10017,252
Flt_100133,OM8309,BBZB,OXSQ,2025/5/31 10:50,2025/5/31 13:35,738,Aft_10073,156
Flt_100134,OM8119,HZPW,NLLA,2025/5/31 16:00,2025/5/31 18:50,7M8,Aft_10086,165
Flt_100135,OM895,DOMU,VDBQ,2025/5/31 14:50,2025/5/31 18:00,738,Aft_10087,193
Flt_100136,OM8120,NLLA,HZPW,2025/5/31 20:05,2025/5/31 22:45,738,Aft_10023,161
Flt_100137,OM8478,KKME,EYWR,2025/5/31 17:30,2025/5/31 20:05,738,Aft_10019,126
Flt_100138,OM8576,AFPF,DOMU,2025/5/31 9:20,2025/5/31 10:55,738,Aft_10024,104
Flt_100139,OM8958,HIUP,AAHN,2025/5/31 14:45,2025/5/31 16:25,738,Aft_10018,97
Flt_100140,OM8088,WKDC,EYWR,2025/5/31 7:25,2025/5/31 10:00,738,Aft_10020,160
Flt_100141,OM8222,MCWT,HZPW,2025/5/31 9:30,2025/5/31 15:00,738,Aft_10088,315
Flt_100142,OM8166,NLLA,HZPW,2025/5/31 13:55,2025/5/31 16:55,738,Aft_10047,161
Flt_100143,OM8482,VGVC,OETZ,2025/5/31 20:35,2025/5/31 23:40,7M8,Aft_10089,174
Flt_100144,OM8344,NBCQ,AAHN,2025/5/29 21:20,2025/5/29 22:45,7M8,Aft_10090,73
Flt_100145,OM8486,KKME,HZPW,2025/5/29 13:50,2025/5/29 16:15,738,Aft_10010,133
Flt_100146,OM8707,EYWR,HEXD,2025/6/1 14:35,2025/6/1 17:15,738,Aft_10091,141
Flt_100147,OM8806,VWIM,HEJY,2025/5/29 13:45,2025/5/29 18:05,738,Aft_10032,262
Flt_100148,OM8274,HIUP,HZPW,2025/6/1 22:15,2025/6/1 23:55,738,Aft_10054,94
Flt_100149,OM884,OIQN,HZPW,2025/6/1 20:45,2025/6/1 22:15,738,Aft_10092,86
Flt_100150,OM8506,GLHV,OXSQ,2025/5/29 21:55,2025/5/29 23:45,738,Aft_10037,118
Flt_100151,OM8610,VGVC,AAHN,2025/5/29 20:00,2025/5/29 22:15,738,Aft_10009,112
Flt_100152,OM8133,OXSQ,OETZ,2025/6/1 7:30,2025/6/1 9:40,738,Aft_10052,139
Flt_100153,OM8809,DSQK,ZJCG,2025/5/29 17:35,2025/5/29 19:00,738,Aft_10093,90
Flt_100154,OM8817,OETZ,HIUP,2025/6/1 7:45,2025/6/1 9:40,738,Aft_10012,129
Flt_100155,OM8190,ZJCG,VOXP,2025/6/1 13:25,2025/6/1 15:20,738,Aft_10094,100
Flt_100156,OM8162,MPYS,HZPW,2025/5/29 11:50,2025/5/29 14:25,738,Aft_10016,149
Flt_100157,OM8139,DOMU,LFOL,2025/5/29 8:35,2025/5/29 11:50,738,Aft_10095,194
Flt_100158,OM8140,LFOL,DOMU,2025/5/29 12:50,2025/5/29 15:55,738,Aft_10095,179
Flt_100159,OM8440,VGVC,HZPW,2025/5/29 11:15,2025/5/29 13:25,738,Aft_10028,128
Flt_100160,OM8453,NLLA,KKME,2025/5/29 19:55,2025/5/29 22:50,738,Aft_10019,165
Flt_100161,OM8317,GLHV,VWIM,2025/5/29 15:30,2025/5/29 18:20,7M8,Aft_10096,149
Flt_100162,OM8775,WKDC,HZPW,2025/5/29 6:55,2025/5/29 9:55,738,Aft_10097,193
Flt_100163,OM8504,BBZB,EYWR,2025/5/29 8:45,2025/5/29 10:35,738,Aft_10076,108
Flt_100164,OM8087,EYWR,WKDC,2025/5/29 11:55,2025/5/29 14:40,738,Aft_10076,157
Flt_100165,OM8384,VWIM,EYWR,2025/6/1 10:35,2025/6/1 13:00,738,Aft_10026,114
Flt_100166,OM8363,AAHN,XLOC,2025/6/1 7:00,2025/6/1 9:15,7M8,Aft_10077,136
Flt_100167,OM8839,EYWR,KREM,2025/6/1 13:45,2025/6/1 16:20,738,Aft_10009,156
Flt_100168,OM8178,LFOL,GLHV,2025/6/1 13:00,2025/6/1 15:20,738,Aft_10083,140
Flt_100169,OM8858,QGSX,GLHV,2025/5/29 20:15,2025/5/29 22:55,738,Aft_10053,150
Flt_100170,OM8231,OXSQ,FVJZ,2025/6/1 19:05,2025/6/1 21:00,738,Aft_10098,119
Flt_100171,OM8211,NLLA,TZJS,2025/6/1 9:15,2025/6/1 12:15,738,Aft_10099,198
Flt_100172,OM8123,EYWR,LFOL,2025/6/1 9:15,2025/6/1 12:00,738,Aft_10075,168
Flt_100173,OM8539,DOMU,VOXP,2025/5/30 9:25,2025/5/30 11:25,738,Aft_10025,102
Flt_100174,OM8671,HZPW,NVMB,2025/5/30 14:45,2025/5/30 16:30,737GY,Aft_10006,102
Flt_100175,OM8382,PNNF,EYWR,2025/5/30 15:55,2025/5/30 17:50,738,Aft_10057,116
Flt_100176,OM8660,NVMB,AAHN,2025/5/30 18:30,2025/5/30 20:00,738,Aft_10054,82
Flt_100177,OM8224,SFRI,DOMU,2025/5/30 18:00,2025/5/30 20:25,7M8,Aft_10078,138
Flt_100178,OM8320,PNNF,EYWR,2025/5/30 12:25,2025/5/30 14:25,738,Aft_10075,116
Flt_100179,OM894,XHFE,DOMU,2025/5/30 13:25,2025/5/30 16:40,738,Aft_10100,177
Flt_100180,OM8586,GLHV,HZPW,2025/5/30 20:10,2025/5/30 22:00,738,Aft_10062,90
Flt_100181,OM8287,NLLA,LLZL,2025/5/30 10:00,2025/5/30 11:55,738,Aft_10058,118
Flt_100182,OM8805,HEJY,VWIM,2025/5/30 19:05,2025/5/30 23:45,738,Aft_10098,280
Flt_100183,OM8060,WKDC,EYWR,2025/5/30 17:55,2025/5/30 20:50,738,Aft_10053,160
Flt_100184,OM8575,DOMU,AFPF,2025/5/30 6:30,2025/5/30 8:05,738,Aft_10018,87
Flt_100185,OM8383,EYWR,VWIM,2025/5/30 6:50,2025/5/30 9:15,738,Aft_10101,137
Flt_100186,OM8452,XLHA,EYWR,2025/5/30 18:00,2025/5/30 20:50,738,Aft_10056,156
Flt_100187,OM8482,VGVC,OETZ,2025/5/30 20:35,2025/5/30 23:40,7M8,Aft_10089,174
Flt_100188,OM8036,XCHB,VOXP,2025/5/30 19:50,2025/5/30 21:40,738,Aft_10102,107
Flt_100189,OM8391,HZPW,ZOYW,2025/5/30 7:30,2025/5/30 9:35,738,Aft_10103,125
Flt_100190,OM8424,KKME,DOMU,2025/5/30 17:55,2025/5/30 20:30,738,Aft_10048,134
Flt_100191,OM8091,HUYM,WKDC,2025/5/30 10:20,2025/5/30 12:20,738,Aft_10004,110
Flt_100192,OM8342,DOMU,HEJY,2025/5/30 18:50,2025/5/30 22:40,738,Aft_10104,237
Flt_100193,OM8436,YITW,HZPW,2025/5/30 11:55,2025/5/30 14:30,738,Aft_10105,150
Flt_100194,OM8818,QGSX,HIUP,2025/5/30 13:40,2025/5/30 15:40,738,Aft_10083,112
Flt_100195,OM8409,AAHN,XLHA,2025/5/30 17:00,2025/5/30 19:50,738,Aft_10106,179
Flt_100196,OM8754,PNNF,LLZL,2025/5/30 21:05,2025/5/31 0:15,738,Aft_10061,181
Flt_100197,OM878,FPCR,HZPW,2025/5/30 19:35,2025/5/30 22:40,738,Aft_10016,171
Flt_100198,OM8546,GLHV,DOMU,2025/5/30 21:10,2025/5/30 23:15,7M8,Aft_10050,113
Flt_100199,OM866,YBWQ,HZPW,2025/5/31 15:05,2025/5/31 19:50,738,Aft_10025,269
Flt_100200,OM8358,HIUP,DOMU,2025/5/31 12:40,2025/5/31 14:35,7M8,Aft_10050,102
Flt_100201,OM8305,DOMU,PNNF,2025/5/31 7:30,2025/5/31 9:05,7M8,Aft_10107,96
Flt_100202,OM8310,OXSQ,BBZB,2025/5/31 21:30,2025/5/31 23:45,738,Aft_10073,137
Flt_100203,OM8116,NLLA,HZPW,2025/5/31 11:55,2025/5/31 15:00,7M8,Aft_10086,161
Flt_100204,OM8252,FGIR,SFRI,2025/5/31 14:00,2025/5/31 15:55,7M8,Aft_10108,114
Flt_100205,OM871,DOMU,FPCR,2025/5/31 8:30,2025/5/31 11:30,738,Aft_10029,163
Flt_100206,OM8649,HZPW,FTVG,2025/5/31 14:15,2025/5/31 17:40,738,Aft_10037,213
Flt_100207,OM8958,ISKH,HIUP,2025/5/31 12:25,2025/5/31 13:45,738,Aft_10018,78
Flt_100208,OM847,DOMU,MCVK,2025/5/31 8:55,2025/5/31 13:40,7M8,Aft_10068,270
Flt_100209,OM8840,KREM,EYWR,2025/5/31 17:35,2025/5/31 20:00,738,Aft_10104,118
Flt_100210,OM8553,EYWR,BBZB,2025/5/31 19:00,2025/5/31 20:45,738,Aft_10038,105
Flt_100211,OM819,DOMU,FXWC,2025/5/31 17:20,2025/5/31 19:45,738,Aft_10055,145
Flt_100212,OM817,AAHN,FXWC,2025/5/31 14:20,2025/5/31 17:00,738,Aft_10053,149
Flt_100213,OM8720,NVMB,EYWR,2025/5/31 18:20,2025/5/31 20:30,738,Aft_10057,132
Flt_100214,OM8108,NLLA,HZPW,2025/6/1 15:55,2025/6/1 19:00,738,Aft_10037,161
Flt_100215,OM8110,NLLA,HZPW,2025/6/1 9:30,2025/6/1 12:00,738,Aft_10003,161
Flt_100216,OM8138,HZPW,OETZ,2025/5/29 20:10,2025/5/29 23:00,738,Aft_10094,161
Flt_100217,OM8344,NBCQ,AAHN,2025/6/1 21:20,2025/6/1 22:45,7M8,Aft_10090,73
Flt_100218,OM8461,HZPW,KKME,2025/5/29 7:35,2025/5/29 10:10,738,Aft_10058,168
Flt_100219,OM8029,HIUP,WKDC,2025/5/29 13:50,2025/5/29 16:45,738,Aft_10109,161
Flt_100220,OM8030,WKDC,HIUP,2025/5/29 17:45,2025/5/29 20:35,738,Aft_10109,177
Flt_100221,OM839,DOMU,HEXD,2025/6/1 13:50,2025/6/1 16:55,738,Aft_10061,172
Flt_100222,OM8768,NBCQ,HZPW,2025/6/1 16:00,2025/6/1 17:40,738,Aft_10036,88
Flt_100223,OM8305,DOMU,PNNF,2025/6/1 7:30,2025/6/1 9:05,737GY,Aft_10110,96
Flt_100224,OM8490,KKME,HZPW,2025/6/1 18:30,2025/6/1 21:05,738,Aft_10063,133
Flt_100225,OM8341,DOMU,VUWJ,2025/6/1 12:50,2025/6/1 14:55,738,Aft_10111,121
Flt_100226,OM8862,YITW,AAHN,2025/6/1 11:50,2025/6/1 14:25,738,Aft_10112,148
Flt_100227,OM8434,KKME,DOMU,2025/5/29 8:05,2025/5/29 10:20,738,Aft_10012,134
Flt_100228,OM8406,XLHA,DOMU,2025/6/1 12:10,2025/6/1 14:45,7M8,Aft_10050,140
Flt_100229,OM8153,DOMU,MPYS,2025/6/1 15:50,2025/6/1 18:40,7M8,Aft_10050,162
Flt_100230,OM8094,HEJY,PZYH,2025/5/29 18:10,2025/5/29 20:40,738,Aft_10015,157
Flt_100231,OM8497,DOMU,QGSX,2025/6/1 17:55,2025/6/1 20:45,738,Aft_10032,165
Flt_100232,OM8549,DOMU,VOXP,2025/6/1 13:25,2025/6/1 15:10,738,Aft_10039,102
Flt_100233,OM8058,OKJK,HZPW,2025/6/1 16:35,2025/6/1 18:45,738,Aft_10113,135
Flt_100234,OM8770,IEMU,DOMU,2025/6/1 12:25,2025/6/1 15:10,737GY,Aft_10006,159
Flt_100235,OM8669,KKME,VDBQ,2025/6/1 8:40,2025/6/1 11:50,738,Aft_10100,191
Flt_100236,OM8289,EYWR,FVJZ,2025/6/1 10:50,2025/6/1 13:25,738,Aft_10038,160
Flt_100237,OM823,DOMU,MCVK,2025/5/29 19:35,2025/5/29 23:50,738,Aft_10072,270
Flt_100238,OM840,HEXD,DOMU,2025/5/29 17:55,2025/5/29 21:25,738,Aft_10057,231
Flt_100239,OM8626,YITW,OXSQ,2025/6/1 19:05,2025/6/1 21:10,738,Aft_10048,106
Flt_100240,OM8061,EYWR,XCHB,2025/6/1 8:55,2025/6/1 11:05,738,Aft_10109,125
Flt_100241,OM8097,VOXP,HEJY,2025/5/29 21:15,2025/5/29 23:55,738,Aft_10104,164
Flt_100242,OM8276,MCWT,OXSQ,2025/5/29 15:50,2025/5/29 20:30,738,Aft_10022,257
Flt_100243,OM8476,KKME,EYWR,2025/5/29 9:05,2025/5/29 11:25,738,Aft_10091,126
Flt_100244,OM8258,OXSQ,EYWR,2025/6/1 17:15,2025/6/1 18:55,738,Aft_10042,91
Flt_100245,OM817,AAHN,FXWC,2025/6/1 14:20,2025/6/1 17:00,738,Aft_10106,149
Flt_100246,OM893,DOMU,XHFE,2025/6/1 9:10,2025/6/1 12:25,738,Aft_10105,190
Flt_100247,OM8666,ALFU,DOMU,2025/6/1 20:25,2025/6/1 21:55,738,Aft_10105,77
Flt_100248,OM893,DOMU,XHFE,2025/5/29 9:10,2025/5/29 12:25,738,Aft_10114,190
Flt_100249,OM8178,LFOL,GLHV,2025/5/29 12:50,2025/5/29 15:20,738,Aft_10053,140
Flt_100250,OM8123,EYWR,LFOL,2025/5/29 9:15,2025/5/29 12:00,738,Aft_10055,168
Flt_100251,OM8624,UCKP,VWIM,2025/5/29 19:10,2025/5/29 21:20,738,Aft_10115,121
Flt_100252,OM8417,DOMU,VGVC,2025/5/29 12:30,2025/5/29 14:55,738,Aft_10063,143
Flt_100253,OM8484,XLHA,NLLA,2025/5/30 13:10,2025/5/30 16:20,738,Aft_10035,192
Flt_100254,OM8769,DOMU,IEMU,2025/5/30 8:25,2025/5/30 11:40,73G,Aft_10079,212
Flt_100255,OM8827,DOMU,NBCQ,2025/5/30 16:25,2025/5/30 17:55,73G,Aft_10079,89
